16 22 1 32 11 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	2	3	3	0	2	4	3	0	2	4	3	0	2	4	3	0	2	4	3	0	2	4	3	0	2	3	3	0	0	
0	0	0	5	6	6	0	5	7	6	0	5	7	6	0	5	7	6	0	5	7	6	0	5	7	6	0	5	6	6	0	0	
0	0	3	8	6	6	9	8	10	11	9	8	10	11	9	8	10	11	9	8	10	11	9	8	10	11	9	8	6	6	0	0	
0	0	12	13	6	6	6	6	14	5	6	6	14	5	6	6	14	5	6	6	14	5	6	6	14	5	6	6	15	16	0	0	
0	0	17	18	6	6	6	6	19	5	6	6	19	5	6	6	19	5	6	6	19	5	6	6	19	5	6	6	20	21	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
